id,gp,minutes,pts,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
Peja Stojakovic,709,24407,12583,3480,1287,686,99,1017,1290,9804,4447,2368,2118,3904,1571
Damon Stoudamire,878,29108,11763,3039,5371,954,81,2039,1705,10662,4329,2244,1869,3464,1236
Rod Strickland,1094,33638,14463,4084,7987,1616,215,2862,2048,11928,5418,4759,3432,691,195
Jason Terry,800,27161,12962,2281,3902,1063,162,1699,1714,10603,4769,2420,2037,3617,1387
Reggie Theus,1026,34603,19015,3349,6453,1206,236,3493,3008,14973,7057,5644,4663,945,238
Isiah Thomas,979,35516,18822,3478,9061,1861,249,3682,2971,15904,7194,5316,4036,1373,398
David Thompson,509,16305,11264,1921,1631,459,407,1129,1287,8365,4213,3616,2815,83,23
Mychal Thompson,935,27764,12810,6951,2141,701,1073,2104,2692,10306,5191,3707,2427,12,1
Otis Thorpe,1257,39822,17600,10370,2730,840,501,2774,4146,12593,6872,5612,3853,64,3
Nate Thurmond,964,35875,14437,14464,2575,125,553,0,2624,13105,5521,5089,3395,0,0
Wayman Tisdale,840,23868,12878,5116,1077,464,500,1407,2801,10575,5338,2897,2202,21,0
Rudy Tomjanovich,768,25714,13383,6198,1573,374,175,332,1937,11240,5630,2666,2089,130,34
Kelly Tripucka,707,20959,12142,2703,2090,678,137,1697,1634,9380,4434,3660,3106,465,168
Jack Twyman,823,26147,15840,5424,1861,0,0,0,2782,13873,6237,4325,3366,0,0
Wes Unseld,984,35832,10624,13769,3822,628,367,579,2762,8586,4369,2976,1883,6,3
Dick Van Arsdale,921,31771,15079,3807,3060,264,44,0,2575,11661,5413,5385,4253,0,0
Tom Van Arsdale,929,28682,14232,3942,2085,230,16,0,2922,12763,5505,4226,3222,0,0
Kiki Vandeweghe,810,24521,15980,2785,1668,468,243,1310,1560,11699,6139,3997,3484,592,218
Nick Van Exel,880,28972,12658,2545,5777,726,93,1850,1380,11457,4636,2341,1858,4270,1528
Antoine Walker,893,31527,15649,6892,3170,1085,469,2504,2516,14701,6086,3303,2091,4264,1386
Chet Walker,1032,33433,18831,7314,2126,117,10,0,2727,14628,6876,6384,5079,0,0
Jimmy Walker,698,23590,11655,1860,2429,253,36,0,1735,10039,4624,2903,2407,0,0
Rasheed Wallace,1009,34163,15150,6994,1908,997,1375,1622,2997,12736,5999,3017,2170,2868,982
Clarence Weatherspoon,915,27740,10483,6846,1346,880,794,1431,2028,8537,4025,3261,2423,51,10
Chris Webber,831,30844,17182,8125,3526,1197,1200,2313,2699,15024,7192,3906,2534,883,264
Scott Wedman,906,25927,11916,4355,1771,846,301,883,2549,10713,5153,1923,1526,251,84
David Wesley,949,30278,11842,2405,4159,1280,161,1808,2310,10023,4248,2827,2223,3051,1123
Jerry West,932,36571,25192,5376,6238,81,23,0,2435,19032,9016,8801,7160,0,0
Paul Westphal,823,20947,12809,1580,3591,1022,262,1117,1705,10084,5079,3166,2596,200,55
Jojo White,837,29941,14399,3345,4095,686,112,504,2056,13884,6169,2471,2060,6,1
Sidney Wicks,760,25762,12803,6620,2437,592,431,667,2524,11002,5046,3955,2711,2,0
Jamaal Wilkes,828,27275,14644,5117,2050,1049,262,1211,2296,12471,6226,2878,2185,52,7
Lenny Wilkens,1077,38064,17772,5030,7211,174,26,0,3285,14327,6189,6973,5394,0,0
Dominique Wilkins,1074,38113,26668,7169,2677,1378,642,2669,2061,21589,9963,7438,6031,2231,711
Gerald Wilkins,900,26087,11745,2645,2703,906,209,1683,1853,10569,4758,2429,1810,1327,419
Buck Williams,1307,42464,16784,13018,1646,1080,1100,2786,4267,11661,6404,5979,3971,30,5
Gus Williams,825,25645,14093,2222,4597,1638,291,1646,1637,12570,5793,3173,2399,454,108
Herb Williams,1102,28484,11944,6509,1856,605,1605,1929,2876,10781,5037,2675,1862,84,8
Kevin Willis,1424,38359,17253,11901,1328,958,751,2520,4172,14572,7095,4238,3023,190,40
Ray Williams,655,18462,10158,2370,3779,1198,208,2099,2165,8794,3962,2673,2143,384,91
Brian Winters,650,19938,10537,1688,2674,792,190,1014,1830,9457,4490,1713,1443,314,114
Mike Woodson,786,20021,10981,1838,1822,952,275,1331,1847,9364,4368,2615,2125,443,120
Orlando Woolridge,851,24041,13623,3696,1609,553,569,1747,2166,10037,5150,4501,3315,88,8
James Worthy,926,30001,16320,4708,2791,1041,624,1859,1975,13204,6878,3184,2447,486,117
